SK_ID_CURR,TARGET
334430,0
166351,0
286414,0
278072,0
119615,0
332901,0
120076,0
156910,0
409200,0
409200,0
325538,0
303796,0
109974,0
109974,0
399350,0
399350,0
399350,0
171814,0
171814,0
290805,0
145180,0
276789,0
276789,0
288635,0
288635,0
288635,0
314462,0
314462,0
211040,0
102374,0
315254,0
224278,0
357181,0
265229,0
353786,0
424322,0
328409,0
348048,0
416779,0
253670,0
208379,0
208379,0
320336,0
451304,0
368071,0
368071,0
154987,0
230340,0
423445,0
423445,0
423445,0
174390,0
399298,0
318031,0
318031,0
318031,0
231143,0
331822,0
331822,0
331822,0
425651,0
425651,0
370946,0
387005,0
387005,0
172130,0
287278,0
287278,0
289964,0
234818,0
234818,0
234818,0
234818,0
362132,0
265654,0
265654,0
407981,0
407981,0
253711,0
101587,0
101587,0
163970,0
163970,0
163970,0
163970,0
100417,0
252142,0
174112,0
243857,0
219813,0
305904,0
201709,0
143547,0
143547,0
381795,0
381795,0
427343,0
427343,0
410071,0
410071,0
410071,0
196603,0
252006,0
252006,0
137203,0
107701,0
107701,0
154158,0
442989,0
333482,0
385246,0
299578,0
331751,0
427604,0
427604,0
353480,0
236017,0
183471,0
183471,0
366165,0
309955,0
454885,0
454885,0
158440,0
213951,0
253357,0
253357,0
394017,0
394017,0
142224,0
295229,0
295229,0
295229,0
295229,0
295229,0
362685,0
175268,0
175268,0
419149,0
271989,0
271989,0
183709,0
148022,0
268719,0
246920,0
218376,0
105410,0
105410,0
237550,0
201307,0
279359,0
279359,0
412987,0
373138,0
419156,0
195660,0
233907,0
372586,0
138594,0
396669,0
331914,0
109876,0
109876,0
109876,0
109876,0
284187,0
274745,0
274745,0
195912,0
433373,0
424840,0
117475,0
117475,0
223802,0
223802,0
223802,0
223802,0
440527,0
170847,0
170847,0
170847,0
170847,0
170847,0
206221,0
206221,0
206221,0
129251,0
129251,0
443576,0
284626,0
419036,0
419036,0
419036,0
419036,0
190323,0
215297,0
215297,0
210265,0
210265,0
210265,0
121698,0
121698,0
121698,0
303003,0
106146,0
106146,0
106146,0
106146,0
208194,0
208194,0
291476,0
291476,0
291476,0
314382,0
131764,0
131764,0
434032,0
433695,0
257940,0
386491,0
258132,0
258132,0
386748,0
386748,0
264146,0
289951,0
421206,0
355487,0
109676,0
109676,0
157060,0
381020,0
233763,0
233763,0
170264,0
145167,0
261831,0
123471,0
244926,0
244926,0
436954,0
436954,0
427034,0
427034,0
268935,0
268935,0
268935,0
430111,0
430111,0
430111,0
372252,0
452623,0
395743,0
395743,0
310285,0
175465,0
175465,0
238699,0
238699,0
306381,0
306381,0
306381,0
240942,0
240942,0
292400,0
292400,0
331662,0
358540,0
358540,0
378794,0
342638,0
445355,0
409871,0
409871,0
112846,0
112846,0
112846,0
335354,0
418487,0
133813,0
374177,0
246799,0
246799,0
246799,0
370124,0
370124,0
389301,0
428832,0
251341,0
334989,0
334989,0
243963,0
243963,0
333018,0
434790,0
434790,0
310510,0
310510,0
310510,0
370961,0
370961,0
448187,0
448187,0
448187,0
435745,0
143701,0
143701,0
407102,0
407102,0
407102,0
407102,0
423273,0
423273,0
423273,0
454465,0
454465,0
371610,0
275244,0
275244,0
449979,0
176946,0
267840,0
175459,0
334466,0
118168,0
366456,0
250035,0
143963,0
143963,0
269887,0
402931,0
280586,0
315216,0
183471,0
400794,0
400794,0
266672,0
266672,0
425834,0
345035,0
119002,0
384074,0
384074,0
233731,0
257680,0
257680,0
331300,0
101105,0
263448,0
354699,0
295180,0
116727,0
116727,0
116727,0
163289,0
213270,0
386170,0
386170,0
386170,0
386170,0
386170,0
386170,0
386170,0
270890,0
270890,0
367912,0
213250,0
151424,0
151424,0
151424,0
151424,0
174020,0
174020,0
453678,0
381926,0
437552,0
438495,0
386903,0
386903,0
275571,0
203474,0
218866,0
242950,0
361586,0
171038,0
140463,0
247394,0
439678,0
436416,0
426013,0
310894,0
291769,0
251706,0
251706,0
176278,0
176278,0
182606,0
182606,0
187445,0
381743,0
167805,0
167805,0
368213,0
349720,0
253100,0
157650,0
407027,0
407027,0
240225,0
240225,0
449615,0
297898,0
155573,0
155227,0
163385,0
250448,0
250448,0
143023,0
143023,0
109959,0
322131,0
176977,0
176977,0
176977,0
176977,0
273699,0
273699,0
167275,0
361274,0
361274,0
361274,0
361274,0
361274,0
312118,0
171490,0
115528,0
208329,0
338414,0
338414,0
393187,0
286151,0
447936,0
447936,0
416318,0
172549,0
172549,0
447492,0
247102,0
247102,0
247102,0
247102,0
291309,0
291309,0
370312,0
200889,0
394377,0
394377,0
394377,0
215208,0
215208,0
215208,0
321155,0
321155,0
321155,0
321155,0
419920,0
419920,0
143474,0
126364,0
126364,0
126364,0
207323,0
248267,0
354421,0
367951,0
367951,0
367951,0
347708,0
401501,0
368921,0
368921,0
343702,0
135496,0
135496,0
400927,0
148368,0
219892,0
313036,0
313036,0
188830,0
400650,0
384306,0
384306,0
384306,0
384306,0
384306,0
272653,0
100606,0
100606,0
194565,0
258973,0
184841,0
186860,0
370703,0
370703,0
370703,0
147619,0
258105,0
258105,0
118955,0
399695,0
386372,0
386372,0
386372,0
420925,0
263182,0
450828,0
427497,0
427497,0
427497,0
394095,0
394095,0
430156,0
282763,0
378039,0
378039,0
188184,0
363685,0
368354,0
311455,0
311455,0
311455,0
311455,0
360774,0
305458,0
335163,0
233601,0
223985,0
106470,0
214531,0
342830,0
177798,0
401401,0
283066,0
283066,0
278077,0
105217,0
295002,0
150615,0
150615,0
326622,0
326622,0
326622,0
326622,0
442692,0
216014,0
216014,0
216014,0
216014,0
216014,0
216014,0
216014,0
